age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,response,response_binary,month_int
46,management,single,secondary,no,-246,yes,no,5,may,4.25,2,-1,0,unknown,no,0,5.0
36,technician,single,secondary,no,265,yes,yes,5,may,5.8,1,-1,0,unknown,no,0,5.0
57,technician,married,secondary,no,839,no,yes,5,may,3.75,1,-1,0,unknown,no,0,5.0
49,management,married,tertiary,no,378,yes,no,5,may,3.83,1,-1,0,unknown,no,0,5.0
60,admin.,married,secondary,no,39,yes,yes,5,may,3.47,1,-1,0,unknown,no,0,5.0
59,blue-collar,married,secondary,no,0,yes,no,5,may,3.77,1,-1,0,unknown,no,0,5.0
57,technician,divorced,secondary,no,63,yes,no,5,may,4.03,1,-1,0,unknown,no,0,5.0
25,blue-collar,married,secondary,no,-7,yes,no,5,may,6.08,1,-1,0,unknown,no,0,5.0
53,technician,married,secondary,no,-3,no,no,5,may,27.77,1,-1,0,unknown,no,0,5.0
36,admin.,divorced,secondary,no,506,yes,no,5,may,9.62,1,-1,0,unknown,no,0,5.0
37,admin.,single,secondary,no,0,yes,no,5,may,2.28,1,-1,0,unknown,no,0,5.0
44,services,divorced,secondary,no,2586,yes,no,5,may,2.67,1,-1,0,unknown,no,0,5.0
50,management,married,secondary,no,49,yes,no,5,may,3.0,2,-1,0,unknown,no,0,5.0
54,retired,married,secondary,no,529,yes,no,5,may,24.87,1,-1,0,unknown,no,0,5.0
36,admin.,single,primary,no,-171,yes,no,5,may,4.03,1,-1,0,unknown,no,0,5.0
58,self-employed,married,tertiary,no,-364,yes,no,5,may,5.92,1,-1,0,unknown,no,0,5.0
44,technician,married,secondary,no,0,yes,no,5,may,3.75,2,-1,0,unknown,no,0,5.0
55,technician,divorced,secondary,no,0,no,no,5,may,2.67,1,-1,0,unknown,no,0,5.0
29,management,single,tertiary,no,0,yes,no,5,may,6.05,1,-1,0,unknown,no,0,5.0
54,blue-collar,married,secondary,no,1291,yes,no,5,may,4.43,1,-1,0,unknown,no,0,5.0
48,management,divorced,tertiary,no,-244,yes,no,5,may,4.22,1,-1,0,unknown,no,0,5.0
32,management,married,tertiary,no,0,yes,no,5,may,2.98,1,-1,0,unknown,no,0,5.0
42,admin.,single,secondary,no,-76,yes,no,5,may,13.12,1,-1,0,unknown,no,0,5.0
24,technician,single,secondary,no,-103,yes,yes,5,may,2.42,1,-1,0,unknown,no,0,5.0
38,entrepreneur,single,tertiary,no,243,no,yes,5,may,2.9,1,-1,0,unknown,no,0,5.0
38,management,single,tertiary,no,424,yes,no,5,may,1.73,1,-1,0,unknown,no,0,5.0
46,services,married,primary,no,179,yes,no,5,may,29.63,1,-1,0,unknown,no,0,5.0
32,admin.,married,tertiary,no,0,yes,no,5,may,2.3,1,-1,0,unknown,no,0,5.0
53,technician,divorced,secondary,no,989,yes,no,5,may,13.53,1,-1,0,unknown,no,0,5.0
57,blue-collar,married,primary,no,249,yes,no,5,may,2.73,1,-1,0,unknown,no,0,5.0
33,services,married,secondary,no,790,yes,no,5,may,6.52,1,-1,0,unknown,no,0,5.0
51,management,married,tertiary,no,6530,yes,no,5,may,1.52,1,-1,0,unknown,no,0,5.0
60,retired,married,tertiary,no,100,no,no,5,may,8.8,1,-1,0,unknown,no,0,5.0
59,management,divorced,tertiary,no,59,yes,no,5,may,4.55,1,-1,0,unknown,no,0,5.0
55,technician,married,secondary,no,1205,yes,no,5,may,2.63,2,-1,0,unknown,no,0,5.0
57,blue-collar,married,secondary,no,5935,yes,yes,5,may,4.3,1,-1,0,unknown,no,0,5.0
31,services,married,secondary,no,25,yes,yes,5,may,2.87,1,-1,0,unknown,no,0,5.0
54,management,married,secondary,no,282,yes,yes,5,may,2.57,1,-1,0,unknown,no,0,5.0
55,blue-collar,married,primary,no,23,yes,no,5,may,4.85,1,-1,0,unknown,no,0,5.0
43,technician,married,secondary,no,1937,yes,no,5,may,3.02,1,-1,0,unknown,no,0,5.0
53,technician,married,secondary,no,384,yes,no,5,may,2.93,1,-1,0,unknown,no,0,5.0
44,blue-collar,married,secondary,no,582,no,yes,5,may,3.52,1,-1,0,unknown,no,0,5.0
55,services,divorced,secondary,no,91,no,no,5,may,5.82,1,-1,0,unknown,no,0,5.0
49,services,divorced,secondary,no,0,yes,yes,5,may,4.53,1,-1,0,unknown,no,0,5.0
55,services,divorced,secondary,yes,1,yes,no,5,may,3.47,1,-1,0,unknown,no,0,5.0
45,admin.,single,secondary,no,206,yes,no,5,may,3.22,1,-1,0,unknown,no,0,5.0
47,services,divorced,secondary,no,164,no,no,5,may,3.53,1,-1,0,unknown,no,0,5.0
42,technician,single,secondary,no,690,yes,no,5,may,0.33,1,-1,0,unknown,no,0,5.0
59,admin.,married,secondary,no,2343,yes,no,5,may,17.37,1,-1,0,unknown,yes,1,5.0
46,self-employed,married,tertiary,no,137,yes,yes,5,may,4.1,1,-1,0,unknown,no,0,5.0
51,blue-collar,married,primary,no,173,yes,no,5,may,8.82,2,-1,0,unknown,no,0,5.0
56,admin.,married,secondary,no,45,no,no,5,may,24.45,1,-1,0,unknown,yes,1,5.0
41,technician,married,secondary,no,1270,yes,no,5,may,23.15,1,-1,0,unknown,yes,1,5.0
46,management,divorced,secondary,no,16,yes,yes,5,may,3.13,2,-1,0,unknown,no,0,5.0
57,retired,married,secondary,no,486,yes,no,5,may,3.0,2,-1,0,unknown,no,0,5.0
42,management,single,secondary,no,50,no,no,5,may,0.8,1,-1,0,unknown,no,0,5.0
30,technician,married,secondary,no,152,yes,yes,5,may,3.55,2,-1,0,unknown,no,0,5.0
60,admin.,married,secondary,no,290,yes,no,5,may,9.72,1,-1,0,unknown,no,0,5.0
57,entrepreneur,divorced,secondary,no,-37,no,no,5,may,2.88,1,-1,0,unknown,no,0,5.0
36,management,married,tertiary,no,101,yes,yes,5,may,7.1,1,-1,0,unknown,no,0,5.0
55,blue-collar,married,secondary,no,383,no,no,5,may,4.78,1,-1,0,unknown,no,0,5.0
60,retired,married,tertiary,no,81,yes,no,5,may,1.68,1,-1,0,unknown,no,0,5.0
39,technician,married,secondary,no,0,yes,no,5,may,3.38,1,-1,0,unknown,no,0,5.0
46,management,married,tertiary,no,229,yes,no,5,may,3.28,1,-1,0,unknown,no,0,5.0
44,blue-collar,married,secondary,no,-674,yes,no,5,may,4.28,1,-1,0,unknown,no,0,5.0
53,blue-collar,married,primary,no,90,no,no,5,may,2.07,1,-1,0,unknown,no,0,5.0
52,blue-collar,married,primary,no,128,yes,no,5,may,3.82,1,-1,0,unknown,no,0,5.0
59,blue-collar,married,primary,no,179,yes,no,5,may,0.92,3,-1,0,unknown,no,0,5.0
27,technician,single,tertiary,no,0,yes,no,5,may,6.67,1,-1,0,unknown,no,0,5.0
44,blue-collar,married,secondary,no,54,yes,no,5,may,3.28,1,-1,0,unknown,no,0,5.0
47,technician,married,tertiary,no,151,yes,no,5,may,3.17,1,-1,0,unknown,no,0,5.0
34,admin.,married,secondary,no,61,no,yes,5,may,0.35,1,-1,0,unknown,no,0,5.0
59,retired,single,secondary,no,30,yes,no,5,may,8.57,1,-1,0,unknown,no,0,5.0
45,management,married,tertiary,no,523,yes,no,5,may,14.15,2,-1,0,unknown,no,0,5.0
29,services,divorced,secondary,no,31,yes,no,5,may,3.23,1,-1,0,unknown,no,0,5.0
46,technician,divorced,secondary,no,79,no,no,5,may,2.4,1,-1,0,unknown,no,0,5.0
56,self-employed,married,primary,no,-34,yes,yes,5,may,3.53,2,-1,0,unknown,no,0,5.0
36,blue-collar,married,primary,no,448,yes,no,5,may,4.77,1,-1,0,unknown,no,0,5.0
59,retired,divorced,primary,no,81,yes,no,5,may,1.78,1,-1,0,unknown,no,0,5.0
44,blue-collar,married,secondary,no,144,yes,no,5,may,4.12,2,-1,0,unknown,no,0,5.0
41,admin.,married,secondary,no,351,yes,no,5,may,8.63,1,-1,0,unknown,no,0,5.0
33,management,single,tertiary,no,-67,yes,no,5,may,6.07,1,-1,0,unknown,no,0,5.0
59,management,divorced,tertiary,no,262,no,no,5,may,2.97,1,-1,0,unknown,no,0,5.0
57,technician,married,primary,no,0,no,no,5,may,1.63,1,-1,0,unknown,no,0,5.0
51,blue-collar,married,secondary,no,26,yes,no,5,may,1.32,1,-1,0,unknown,no,0,5.0
43,services,married,secondary,no,41,yes,yes,5,may,2.12,2,-1,0,unknown,no,0,5.0
52,technician,married,tertiary,no,7,no,yes,5,may,2.92,1,-1,0,unknown,no,0,5.0
33,technician,single,secondary,no,105,yes,no,5,may,4.37,2,-1,0,unknown,no,0,5.0
29,admin.,single,secondary,no,818,yes,yes,5,may,1.02,1,-1,0,unknown,no,0,5.0
34,services,married,secondary,no,-16,yes,yes,5,may,1.3,1,-1,0,unknown,no,0,5.0
31,blue-collar,married,secondary,no,0,yes,no,5,may,2.38,1,-1,0,unknown,no,0,5.0
55,services,married,secondary,no,2476,yes,no,5,may,9.65,1,-1,0,unknown,yes,1,5.0
32,admin.,single,secondary,no,217,yes,no,5,may,5.75,1,-1,0,unknown,no,0,5.0
38,technician,single,secondary,no,1685,yes,no,5,may,3.08,1,-1,0,unknown,no,0,5.0
55,admin.,single,secondary,no,802,yes,yes,5,may,1.67,2,-1,0,unknown,no,0,5.0
28,unemployed,single,tertiary,no,0,yes,no,5,may,2.08,2,-1,0,unknown,no,0,5.0
23,blue-collar,married,secondary,no,94,yes,no,5,may,3.22,1,-1,0,unknown,no,0,5.0
32,technician,single,secondary,no,0,yes,no,5,may,2.27,1,-1,0,unknown,no,0,5.0
32,blue-collar,married,secondary,no,517,yes,no,5,may,8.8,1,-1,0,unknown,no,0,5.0
46,blue-collar,married,secondary,no,265,yes,no,5,may,9.02,1,-1,0,unknown,no,0,5.0
53,housemaid,divorced,primary,no,947,yes,no,5,may,2.72,1,-1,0,unknown,no,0,5.0
34,self-employed,single,secondary,no,3,yes,no,5,may,5.02,1,-1,0,unknown,no,0,5.0
57,unemployed,married,tertiary,no,42,no,no,5,may,0.77,1,-1,0,unknown,no,0,5.0
37,blue-collar,married,secondary,no,37,yes,no,5,may,3.4,1,-1,0,unknown,no,0,5.0
59,blue-collar,married,secondary,no,57,yes,no,5,may,1.63,1,-1,0,unknown,no,0,5.0
33,services,married,secondary,no,22,yes,no,5,may,1.18,1,-1,0,unknown,no,0,5.0
56,blue-collar,divorced,primary,no,8,yes,no,5,may,2.62,2,-1,0,unknown,no,0,5.0
48,unemployed,married,secondary,no,293,yes,no,5,may,4.05,1,-1,0,unknown,no,0,5.0
43,services,married,primary,no,3,yes,no,5,may,3.1,2,-1,0,unknown,no,0,5.0
54,blue-collar,married,primary,no,348,yes,no,5,may,9.65,2,-1,0,unknown,no,0,5.0
26,student,single,secondary,no,0,yes,no,5,may,10.17,2,-1,0,unknown,no,0,5.0
40,management,married,tertiary,no,-4,yes,no,5,may,33.88,1,-1,0,unknown,no,0,5.0
39,management,married,secondary,no,18,yes,no,5,may,1.42,1,-1,0,unknown,no,0,5.0
50,technician,married,primary,no,139,no,no,5,may,1.9,2,-1,0,unknown,no,0,5.0
41,services,married,secondary,no,0,yes,no,5,may,1.9,2,-1,0,unknown,no,0,5.0
60,retired,divorced,secondary,no,216,yes,no,5,may,3.97,1,-1,0,unknown,no,0,5.0
52,blue-collar,married,secondary,no,782,yes,no,5,may,1.55,3,-1,0,unknown,no,0,5.0
48,blue-collar,married,secondary,no,904,yes,no,5,may,2.13,2,-1,0,unknown,no,0,5.0
39,technician,single,tertiary,no,47,yes,no,5,may,3.02,1,-1,0,unknown,no,0,5.0
47,services,single,secondary,no,176,yes,no,5,may,5.05,2,-1,0,unknown,no,0,5.0
40,blue-collar,married,secondary,no,1225,yes,no,5,may,9.3,5,-1,0,unknown,no,0,5.0
45,technician,married,secondary,no,86,yes,no,5,may,4.5,1,-1,0,unknown,no,0,5.0
26,admin.,single,secondary,no,82,yes,no,5,may,3.8,1,-1,0,unknown,no,0,5.0
52,management,married,tertiary,no,271,yes,no,5,may,1.65,1,-1,0,unknown,no,0,5.0
54,technician,married,secondary,no,1378,yes,no,5,may,4.0,1,-1,0,unknown,no,0,5.0
54,admin.,married,tertiary,no,184,no,no,5,may,11.22,2,-1,0,unknown,yes,1,5.0
50,blue-collar,married,primary,no,0,no,no,5,may,3.88,3,-1,0,unknown,no,0,5.0
35,blue-collar,married,secondary,no,0,yes,no,5,may,17.6,1,-1,0,unknown,no,0,5.0
44,services,married,secondary,no,1357,yes,yes,5,may,4.17,1,-1,0,unknown,no,0,5.0
35,retired,single,primary,no,434,no,no,5,may,2.3,1,-1,0,unknown,no,0,5.0
60,admin.,divorced,secondary,no,92,yes,no,5,may,2.17,1,-1,0,unknown,no,0,5.0
53,admin.,divorced,secondary,no,1151,yes,no,5,may,6.87,1,-1,0,unknown,no,0,5.0
48,unemployed,married,secondary,no,41,yes,no,5,may,2.98,2,-1,0,unknown,no,0,5.0
34,technician,married,secondary,no,51,yes,no,5,may,0.32,2,-1,0,unknown,no,0,5.0
54,services,married,secondary,no,214,yes,no,5,may,7.63,2,-1,0,unknown,no,0,5.0
51,management,married,secondary,no,1161,yes,no,5,may,11.95,1,-1,0,unknown,no,0,5.0
31,services,married,tertiary,no,37,yes,no,5,may,5.22,1,-1,0,unknown,no,0,5.0
35,technician,divorced,secondary,no,787,yes,no,5,may,11.38,2,-1,0,unknown,no,0,5.0
35,services,married,secondary,no,59,yes,no,5,may,17.95,1,-1,0,unknown,no,0,5.0
38,technician,married,secondary,no,253,yes,no,5,may,6.93,1,-1,0,unknown,no,0,5.0
36,admin.,married,tertiary,no,211,yes,no,5,may,2.43,2,-1,0,unknown,no,0,5.0
58,retired,married,primary,no,235,yes,no,5,may,2.78,1,-1,0,unknown,no,0,5.0
54,management,married,secondary,no,4080,no,no,5,may,2.33,1,-1,0,unknown,no,0,5.0
34,blue-collar,single,secondary,no,53,yes,yes,5,may,5.77,1,-1,0,unknown,no,0,5.0
31,management,single,tertiary,no,0,yes,no,5,may,9.37,1,-1,0,unknown,no,0,5.0
51,retired,married,secondary,no,2127,yes,no,5,may,2.87,1,-1,0,unknown,no,0,5.0
33,management,married,tertiary,no,377,yes,no,5,may,3.62,1,-1,0,unknown,no,0,5.0
55,management,married,tertiary,no,73,yes,no,5,may,2.37,2,-1,0,unknown,no,0,5.0
42,admin.,married,secondary,no,445,yes,no,5,may,1.12,1,-1,0,unknown,no,0,5.0
34,blue-collar,married,secondary,no,243,yes,no,5,may,4.85,1,-1,0,unknown,no,0,5.0
33,blue-collar,single,secondary,no,307,yes,no,5,may,5.15,2,-1,0,unknown,no,0,5.0
38,services,married,secondary,no,155,yes,no,5,may,4.13,1,-1,0,unknown,no,0,5.0
50,technician,divorced,tertiary,no,173,no,yes,5,may,1.63,1,-1,0,unknown,no,0,5.0
43,management,married,tertiary,no,400,yes,no,5,may,4.27,1,-1,0,unknown,no,0,5.0
61,blue-collar,divorced,primary,no,1428,yes,no,5,may,1.37,2,-1,0,unknown,no,0,5.0
47,admin.,married,secondary,no,219,yes,no,5,may,9.62,1,-1,0,unknown,no,0,5.0
48,self-employed,married,tertiary,no,7,yes,no,5,may,4.77,1,-1,0,unknown,no,0,5.0
44,blue-collar,married,secondary,no,575,yes,no,5,may,7.95,1,-1,0,unknown,no,0,5.0
35,services,married,secondary,no,0,yes,no,5,may,7.85,1,-1,0,unknown,no,0,5.0
50,services,married,secondary,no,5699,yes,no,5,may,6.35,2,-1,0,unknown,no,0,5.0
41,management,married,tertiary,no,176,yes,yes,5,may,0.7,1,-1,0,unknown,no,0,5.0
41,management,married,tertiary,no,517,yes,no,5,may,4.18,1,-1,0,unknown,no,0,5.0
42,retired,married,secondary,no,56,yes,no,5,may,3.58,1,-1,0,unknown,no,0,5.0
38,blue-collar,married,secondary,no,-390,yes,no,5,may,4.78,1,-1,0,unknown,no,0,5.0
53,retired,married,secondary,no,330,yes,no,5,may,3.6,2,-1,0,unknown,no,0,5.0
59,housemaid,divorced,primary,no,195,no,no,5,may,6.1,2,-1,0,unknown,no,0,5.0
36,services,married,secondary,no,301,yes,no,5,may,3.5,1,-1,0,unknown,no,0,5.0
54,blue-collar,married,primary,no,-41,yes,no,5,may,4.8,1,-1,0,unknown,no,0,5.0
40,technician,married,tertiary,no,483,yes,no,5,may,2.8,1,-1,0,unknown,no,0,5.0
46,housemaid,married,primary,no,965,no,no,5,may,2.95,1,-1,0,unknown,no,0,5.0
39,management,married,tertiary,no,378,yes,yes,5,may,2.12,2,-1,0,unknown,no,0,5.0
40,unemployed,married,secondary,no,219,yes,no,5,may,5.95,1,-1,0,unknown,no,0,5.0
28,blue-collar,married,primary,no,324,yes,no,5,may,2.92,1,-1,0,unknown,no,0,5.0
35,entrepreneur,divorced,secondary,no,-69,yes,no,5,may,5.0,1,-1,0,unknown,no,0,5.0
55,retired,married,secondary,no,0,no,yes,5,may,2.27,1,-1,0,unknown,no,0,5.0
48,blue-collar,married,primary,no,278,yes,no,5,may,2.08,2,-1,0,unknown,no,0,5.0
33,management,single,tertiary,no,34,yes,no,5,may,0.45,1,-1,0,unknown,no,0,5.0
53,services,divorced,secondary,no,1467,yes,no,5,may,2.07,1,-1,0,unknown,no,0,5.0
47,blue-collar,married,primary,no,-12,yes,no,5,may,0.3,1,-1,0,unknown,no,0,5.0
31,services,married,secondary,no,388,yes,no,5,may,12.17,2,-1,0,unknown,no,0,5.0
57,entrepreneur,married,secondary,no,294,yes,no,5,may,12.43,2,-1,0,unknown,no,0,5.0
55,blue-collar,married,primary,no,627,yes,no,5,may,4.12,1,-1,0,unknown,no,0,5.0
45,blue-collar,married,primary,no,25,yes,no,5,may,0.67,1,-1,0,unknown,no,0,5.0
53,admin.,divorced,secondary,no,315,yes,no,5,may,3.02,2,-1,0,unknown,no,0,5.0
37,blue-collar,married,primary,no,0,yes,no,5,may,1.32,1,-1,0,unknown,no,0,5.0
44,admin.,divorced,secondary,no,66,yes,no,5,may,3.43,1,-1,0,unknown,no,0,5.0
49,blue-collar,divorced,primary,no,-9,yes,yes,5,may,6.48,1,-1,0,unknown,no,0,5.0
46,technician,married,secondary,no,349,yes,yes,5,may,2.12,1,-1,0,unknown,no,0,5.0
38,admin.,married,secondary,no,0,no,no,5,may,2.52,1,-1,0,unknown,no,0,5.0
43,technician,married,secondary,no,434,yes,no,5,may,1.95,1,-1,0,unknown,no,0,5.0
49,management,married,tertiary,no,3237,yes,no,5,may,3.87,3,-1,0,unknown,no,0,5.0
22,blue-collar,single,secondary,no,0,yes,no,5,may,2.98,2,-1,0,unknown,no,0,5.0
40,management,married,tertiary,no,207,yes,no,5,may,0.65,1,-1,0,unknown,no,0,5.0
39,blue-collar,married,secondary,no,483,yes,no,5,may,4.7,1,-1,0,unknown,no,0,5.0
51,services,married,secondary,no,2248,yes,no,5,may,11.9,2,-1,0,unknown,no,0,5.0
49,admin.,married,secondary,no,428,yes,no,5,may,0.83,1,-1,0,unknown,no,0,5.0
53,blue-collar,married,secondary,no,0,yes,yes,5,may,3.02,1,-1,0,unknown,no,0,5.0
34,services,single,secondary,no,0,yes,no,5,may,2.37,1,-1,0,unknown,no,0,5.0
33,technician,divorced,secondary,no,140,yes,no,5,may,3.78,1,-1,0,unknown,no,0,5.0
50,management,single,tertiary,no,297,yes,no,5,may,1.98,1,-1,0,unknown,no,0,5.0
39,blue-collar,married,primary,no,279,yes,no,5,may,6.02,1,-1,0,unknown,no,0,5.0
59,entrepreneur,divorced,secondary,no,901,yes,no,5,may,1.22,3,-1,0,unknown,no,0,5.0
30,technician,single,secondary,no,2573,yes,no,5,may,1.12,2,-1,0,unknown,no,0,5.0
36,services,married,secondary,no,143,yes,yes,5,may,5.83,1,-1,0,unknown,no,0,5.0
40,blue-collar,married,secondary,no,475,yes,no,5,may,5.53,2,-1,0,unknown,no,0,5.0
53,blue-collar,married,secondary,no,70,yes,no,5,may,10.18,2,-1,0,unknown,no,0,5.0
34,management,single,tertiary,no,318,yes,no,5,may,1.88,2,-1,0,unknown,no,0,5.0
37,technician,married,secondary,no,275,yes,no,5,may,2.2,1,-1,0,unknown,no,0,5.0
42,management,divorced,tertiary,no,742,yes,no,5,may,0.97,3,-1,0,unknown,no,0,5.0
41,entrepreneur,married,primary,no,236,yes,no,5,may,2.52,1,-1,0,unknown,no,0,5.0
30,student,single,tertiary,no,25,yes,no,5,may,1.48,2,-1,0,unknown,no,0,5.0
37,management,single,tertiary,no,600,yes,no,5,may,2.53,1,-1,0,unknown,no,0,5.0
39,admin.,divorced,secondary,no,-349,yes,no,5,may,10.18,2,-1,0,unknown,no,0,5.0
41,blue-collar,married,primary,no,183,yes,yes,5,may,1.83,2,-1,0,unknown,no,0,5.0
40,blue-collar,married,primary,no,0,yes,no,5,may,7.72,1,-1,0,unknown,no,0,5.0
42,management,single,tertiary,no,0,yes,yes,5,may,9.37,2,-1,0,unknown,yes,1,5.0
40,blue-collar,divorced,primary,no,0,yes,no,5,may,16.03,1,-1,0,unknown,no,0,5.0
57,technician,married,secondary,no,1078,yes,no,5,may,0.17,4,-1,0,unknown,no,0,5.0
56,entrepreneur,divorced,secondary,no,155,no,no,5,may,1.97,3,-1,0,unknown,no,0,5.0
37,admin.,married,secondary,no,190,yes,no,5,may,1.53,2,-1,0,unknown,no,0,5.0
59,retired,married,secondary,no,319,yes,no,5,may,2.38,3,-1,0,unknown,no,0,5.0
39,services,divorced,secondary,no,-185,yes,no,5,may,3.15,3,-1,0,unknown,no,0,5.0
49,services,married,secondary,no,47,no,no,5,may,3.9,2,-1,0,unknown,no,0,5.0
38,services,single,secondary,no,570,yes,no,5,may,1.25,2,-1,0,unknown,no,0,5.0
36,self-employed,married,tertiary,no,19,no,no,5,may,3.15,2,-1,0,unknown,no,0,5.0
50,blue-collar,married,primary,no,61,yes,no,5,may,10.35,3,-1,0,unknown,no,0,5.0
41,admin.,married,secondary,no,-62,yes,yes,5,may,0.92,2,-1,0,unknown,no,0,5.0
54,technician,married,tertiary,no,258,no,no,5,may,5.17,4,-1,0,unknown,no,0,5.0
58,blue-collar,married,primary,no,76,yes,no,5,may,2.6,2,-1,0,unknown,no,0,5.0
33,admin.,single,secondary,no,352,yes,no,5,may,3.75,2,-1,0,unknown,no,0,5.0
47,admin.,married,secondary,no,368,yes,no,5,may,2.08,2,-1,0,unknown,no,0,5.0
32,blue-collar,married,secondary,no,1331,yes,no,5,may,4.77,2,-1,0,unknown,no,0,5.0
40,self-employed,married,secondary,no,672,yes,no,5,may,2.73,2,-1,0,unknown,no,0,5.0
37,management,married,tertiary,no,58,yes,no,5,may,1.63,2,-1,0,unknown,no,0,5.0
24,student,single,secondary,no,423,yes,no,5,may,3.77,3,-1,0,unknown,no,0,5.0
54,management,married,tertiary,no,0,no,no,5,may,2.0,2,-1,0,unknown,no,0,5.0
34,technician,married,secondary,no,19,yes,no,5,may,6.03,4,-1,0,unknown,no,0,5.0
56,technician,divorced,primary,no,13,yes,no,5,may,5.95,2,-1,0,unknown,no,0,5.0
31,blue-collar,single,secondary,no,3,yes,no,5,may,3.33,2,-1,0,unknown,no,0,5.0
24,student,single,secondary,no,82,yes,no,5,may,3.4,2,-1,0,unknown,no,0,5.0
42,blue-collar,divorced,primary,no,28,yes,no,5,may,2.1,3,-1,0,unknown,no,0,5.0
57,technician,married,secondary,no,792,yes,no,5,may,1.08,2,-1,0,unknown,no,0,5.0
51,admin.,married,secondary,no,531,yes,no,5,may,4.45,2,-1,0,unknown,no,0,5.0
57,retired,married,secondary,no,211,yes,no,5,may,4.13,2,-1,0,unknown,no,0,5.0
36,services,single,secondary,no,62,yes,no,5,may,3.58,2,-1,0,unknown,no,0,5.0
50,technician,married,secondary,no,1234,yes,no,5,may,3.42,2,-1,0,unknown,no,0,5.0
54,management,married,tertiary,no,313,yes,no,5,may,1.38,2,-1,0,unknown,no,0,5.0
55,blue-collar,married,secondary,no,89,yes,no,5,may,1.77,3,-1,0,unknown,no,0,5.0
44,blue-collar,married,secondary,no,129,yes,yes,5,may,3.15,2,-1,0,unknown,no,0,5.0
56,admin.,married,secondary,no,353,yes,no,5,may,1.77,2,-1,0,unknown,no,0,5.0
55,services,divorced,primary,no,96,yes,yes,5,may,5.18,2,-1,0,unknown,no,0,5.0
37,services,divorced,secondary,no,398,yes,yes,5,may,3.57,2,-1,0,unknown,no,0,5.0
33,admin.,single,tertiary,no,193,no,no,5,may,2.2,2,-1,0,unknown,no,0,5.0
46,admin.,married,secondary,no,-358,yes,no,5,may,5.97,2,-1,0,unknown,no,0,5.0
36,blue-collar,married,secondary,no,539,yes,yes,5,may,7.55,2,-1,0,unknown,no,0,5.0
51,technician,single,secondary,no,0,yes,no,5,may,6.07,2,-1,0,unknown,no,0,5.0
40,retired,single,primary,no,0,no,no,5,may,2.27,2,-1,0,unknown,no,0,5.0
42,blue-collar,married,secondary,no,490,yes,no,5,may,6.43,2,-1,0,unknown,no,0,5.0
51,blue-collar,married,secondary,no,0,yes,no,5,may,2.88,2,-1,0,unknown,no,0,5.0
48,management,married,secondary,no,161,yes,no,5,may,3.73,3,-1,0,unknown,no,0,5.0
32,technician,divorced,tertiary,no,2558,no,no,5,may,2.47,2,-1,0,unknown,no,0,5.0
31,admin.,single,secondary,no,98,yes,no,5,may,3.27,2,-1,0,unknown,no,0,5.0
55,management,single,tertiary,no,115,no,no,5,may,1.85,4,-1,0,unknown,no,0,5.0
